causa_acidente,acidentes,mortos,feridos_graves
Reação tardia ou ineficiente do condutor,29193,1812,7081
Ausência de reação do condutor,27546,1946,6984
Acessar a via sem observar a presença dos outros veículos,18873,1146,6386
Velocidade Incompatível,13590,1424,4387
Condutor deixou de manter distância do veículo da frente,13068,269,2458
Ingestão de álcool pelo condutor,11803,573,2656
Manobra de mudança de faixa,11707,705,2910
Demais falhas mecânicas ou elétricas,9015,190,1174
Transitar na contramão,6889,2566,3857
Condutor Dormindo,6395,625,1826
Ultrapassagem Indevida,4914,1133,2548
Desrespeitar a preferência no cruzamento,4131,109,1245
Animais na Pista,4071,268,1094
Avarias e/ou desgaste excessivo no pneu,3682,124,842
Chuva,3331,190,712
Trafegar com motocicleta (ou similar) entre as faixas,3246,152,763
Conversão proibida,2673,143,992
Acesso irregular,2201,131,821
Entrada inopinada do pedestre,2082,612,892
Pedestre andava na pista,1955,832,750
Pista Escorregadia,1790,76,352
Acumulo de água sobre o pavimento,1759,71,378
Pedestre cruzava a pista fora da faixa,1747,459,851
Mal súbito do condutor,1606,206,426
Frear bruscamente,1117,18,193
Pista esburacada,1079,75,317
Objeto estático sobre o leito carroçável,1053,70,285
Retorno proibido,978,56,359
Problema com o freio,873,79,197
Carga excessiva e/ou mal acondicionada,831,70,128
Demais falhas na via,808,52,191
Condutor desrespeitou a iluminação vermelha do semáforo,786,15,247
Acumulo de areia ou detritos sobre o pavimento,784,17,168
Transitar no Acostamento,759,85,283
Curva acentuada,685,56,175
Ausência de sinalização,630,50,218
Acumulo de óleo sobre o pavimento,598,14,100
Afundamento ou ondulação no pavimento,546,36,134
Deficiência do Sistema de Iluminação/Sinalização,537,82,201
Acostamento em desnível,518,31,113
Estacionar ou parar em local proibido,510,48,164
Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,481,40,148
Iluminação deficiente,475,85,164
Transitar no acostamento,377,53,150
Condutor usando celular,369,19,103
Área urbana sem a presença de local apropriado para a travessia de pedestres,254,53,116
Demais Fenômenos da natureza,249,10,46
Suicídio (presumido),248,119,84
Falta de elemento de contenção que evite a saída do leito carroçável,247,29,67
Ingestão de substâncias psicoativas pelo condutor,245,20,57
Falta de acostamento,212,20,67
Neblina,195,24,65
Obras na pista,190,10,53
Problema na suspensão,173,5,22
Pedestre - Ingestão de álcool/ substâncias psicoativas,173,25,77
Ingestão de álcool ou de substâncias psicoativas pelo pedestre,166,20,67
Sinalização mal posicionada,134,11,38
Obstrução na via,130,6,41
Fumaça,106,5,20
Desvio temporário,105,7,41
Pista em desnível,101,4,16
Transtornos Mentais (exceto suicidio),79,9,18
Declive acentuado,78,9,21
Restrição de visibilidade em curvas horizontais,66,2,16
Participar de racha,43,9,19
Modificação proibida,40,2,11
Deixar de acionar o farol da motocicleta (ou similar),39,3,21
Faixas de trânsito com largura insuficiente,35,4,7
Transitar na calçada,32,1,13
Restrição de visibilidade em curvas verticais,28,5,22
Semáforo com defeito,26,0,7
Redutor de velocidade em desacordo,22,0,5
Faróis desregulados,20,1,7
Sinalização encoberta,14,1,3
Obstrução Via tentativa Assalto,10,0,1
Sistema de drenagem ineficiente,7,1,4
